# Objective (MW), T_1_x (m), T_1_y (m), T_2_x (m), T_2_y (m), T_3_x (m), T_3_y (m), T_4_x (m), T_4_y (m), T_5_x (m), T_5_y (m), T_6_x (m), T_6_y (m), T_7_x (m), T_7_y (m)
9.688708755285638574e+00,4.544844417983227913e+02,-6.158665627211663605e+02,6.288090528194295530e+02,5.399686903255436619e+02,5.272483098241680182e+02,-2.238741708578356793e+02,-4.802803710104581114e+02,-1.573978458096352142e+02,-1.403722477305090877e+02,-1.197874217586959844e+02,-4.584076333737950790e+02,-5.771285860876339484e+02,2.599572227043731800e+02,3.934390853103913628e+02
-9.449311355040446614e+00,4.515314627368039737e+02,-6.194854501221374221e+02,6.154356231667989050e+02,5.395590786536099586e+02,5.331748204524662924e+02,-2.317572081321169719e+02,-4.920329865909056366e+02,-1.640969020778409515e+02,-1.260138704192485193e+02,-1.106226852419354003e+02,-4.296739729611628604e+02,-5.709266528578458519e+02,2.339863444603201970e+02,3.948700800211777278e+02
-1.023430589882399744e+01,4.505196462298285383e+02,-6.234723473193852215e+02,6.031582243723166812e+02,5.386164188700566910e+02,5.351445474158781508e+02,-2.394881025062137212e+02,-5.188117528961621474e+02,-1.722951286786960168e+02,-1.343944603249206011e+02,-9.958854872578442041e+01,-4.396717016965433231e+02,-5.650684246989684425e+02,2.500992037091189673e+02,3.966360316254816780e+02
-1.086853119345223817e+01,4.518535547788236499e+02,-6.300000000000000000e+02,6.162798098618701488e+02,5.380135197205297573e+02,5.380373488512075255e+02,-2.573809794793154424e+02,-5.491853311192257934e+02,-1.900376609933278473e+02,-1.409293741563606090e+02,-7.817437680686188628e+01,-4.192670802249000417e+02,-5.520596201900056030e+02,2.601664940000687238e+02,4.008978075708940310e+02
-1.137478049394425561e+01,4.600475558996332666e+02,-6.299999999999995453e+02,6.111153358893668610e+02,5.387329196326942338e+02,5.239425651193663498e+02,-2.916915806873975043e+02,-5.975365387527251642e+02,-2.192190219500115518e+02,-1.412437026517268635e+02,-3.796250452971893452e+01,-3.726172816439789131e+02,-5.239673284453268707e+02,2.796992729082351161e+02,4.109209028746992658e+02
-1.081982386847463040e+01,4.407225078897761819e+02,-6.300000000000000000e+02,6.063204544760066028e+02,5.420487657454403916e+02,5.184814194493671948e+02,-3.297181079078019366e+02,-6.300000000000000000e+02,-2.438153827443492787e+02,-1.152025821895112614e+02,1.020280755369725512e+00,-3.327567925842409977e+02,-4.920056749743137061e+02,3.127937936847772562e+02,4.197474369367046734e+02
-1.129615772706896060e+01,4.373982609942825093e+02,-6.299999999999994316e+02,6.024478838824011291e+02,5.440767974353580030e+02,5.314495944570749089e+02,-3.208193074213802447e+02,-6.143316492923236183e+02,-2.292386165287111339e+02,-1.462279756245716555e+02,-1.263612129423863450e+01,-3.448066243744301573e+02,-4.961649219899542231e+02,2.976737698944617136e+02,4.138229096322485816e+02
-1.080428025586394369e+01,4.566331036743619620e+02,-6.300000000000000000e+02,6.025181739913363117e+02,5.498411587042199926e+02,5.588930438856056071e+02,-3.425193349802063949e+02,-6.275673929009736867e+02,-2.274073755285328957e+02,-1.514466590317232999e+02,-2.471077777085426419e-01,-3.241892685734818542e+02,-4.720519558701969913e+02,3.092741243656042798e+02,4.115382128930095860e+02
-1.153232363493575718e+01,4.572807296067261973e+02,-6.278549212135970947e+02,6.088024835860534267e+02,5.588607357525573889e+02,5.688702597866135875e+02,-3.499390055833740121e+02,-5.680920628301960278e+02,-1.958402874177517674e+02,-1.532507336824656363e+02,-1.747713829701043409e+01,-3.230458215926656749e+02,-4.592686784060124410e+02,3.213256611775158262e+02,4.005021948339859819e+02
-1.083324281739702144e+01,4.562709653915973149e+02,-6.299999999999998863e+02,6.219288545045861838e+02,5.545160556405076022e+02,5.389237931192560609e+02,-3.602189575653563907e+02,-6.287469829049339296e+02,-2.167458052223393565e+02,-1.497511008889473203e+02,1.368281618132970223e+00,-3.098314428574122985e+02,-4.587188763583245077e+02,3.059075587315358007e+02,4.076703908625131021e+02
-1.154069011495650798e+01,4.675660044729189622e+02,-6.299999999999994316e+02,6.299999999999970441e+02,5.572225194367688346e+02,5.284764487216683619e+02,-3.487271771394788971e+02,-6.057949530814171339e+02,-1.923332986076712530e+02,-1.388151375689201927e+02,-2.443376184941094920e+01,-3.478325021806066388e+02,-4.716092236126894477e+02,2.808651178441467664e+02,3.997110748562101321e+02
-1.260339965236621396e+01,4.582751292395147971e+02,-6.300000000000000000e+02,6.106999889223613991e+02,5.565635218873275107e+02,5.220072160481813626e+02,-3.494917026415366763e+02,-6.145718246384948316e+02,-2.052547781601925863e+02,-1.332100724729623948e+02,-1.621950635794966900e+01,-3.359724041528051544e+02,-4.754595811234318035e+02,3.020542831890147681e+02,4.053614861245113161e+02
-1.307332625492540323e+01,4.500094057032931687e+02,-6.300000000000000000e+02,6.105744411535519021e+02,5.587771199037424594e+02,5.360784674626620472e+02,-3.461624550958521809e+02,-6.088408300652439493e+02,-2.020463026192081770e+02,-1.359448988528820905e+02,-2.128194550271172147e+01,-3.343383753325986163e+02,-4.811425352219949900e+02,2.989958095878567974e+02,4.080207821228574403e+02
-1.320337245144531124e+01,4.521936575334300983e+02,-6.300000000000000000e+02,6.112552465915731545e+02,5.639433311911151350e+02,5.321227139806670721e+02,-3.474116714857565285e+02,-6.092676747978083540e+02,-1.962139127982279661e+02,-1.361835861846229250e+02,-2.448627785197527018e+01,-3.339791970955504326e+02,-4.850513715457042281e+02,2.979521491631734307e+02,4.091668464807306691e+02
-1.331394009398131217e+01,4.546381580477905686e+02,-6.299999999999998863e+02,6.114015994686202475e+02,5.764626736862047665e+02,5.300914547914535433e+02,-3.517595361125833051e+02,-6.085359943388705233e+02,-1.790560151738185937e+02,-1.362464465252642469e+02,-2.635175979119363276e+01,-3.325197979961218948e+02,-4.926081066924097058e+02,2.965680771679975578e+02,4.125737049753034285e+02
-1.334014737375331094e+01,4.546304600345241624e+02,-6.299999999999998863e+02,6.112815093056525484e+02,5.753591054188410681e+02,5.309368257810159548e+02,-3.530926461551277384e+02,-6.086692971723629171e+02,-1.765069341906383897e+02,-1.364139846763174546e+02,-2.248968596442258416e+01,-3.327444909320816464e+02,-4.903728304286923958e+02,2.963485388673236685e+02,4.137261182416320935e+02
-1.335087693907134998e+01,4.540244949371674466e+02,-6.300000000000000000e+02,6.109118017506148135e+02,5.727407044876130158e+02,5.320178750405628989e+02,-3.524322009436560279e+02,-6.088953879893123258e+02,-1.742794684242451524e+02,-1.365935006165403252e+02,-2.070585083515598512e+01,-3.331042740318446818e+02,-4.902289846271269766e+02,2.964486966417963458e+02,4.145788130313712827e+02
-1.335304677907909543e+01,4.536652117738900643e+02,-6.300000000000000000e+02,6.108565952819109270e+02,5.722670165113231633e+02,5.321714060659001007e+02,-3.512455425385782632e+02,-6.089840774224899178e+02,-1.727231275193730369e+02,-1.365814141276882481e+02,-2.114010473324121264e+01,-3.332503683161346544e+02,-4.902905848248876737e+02,2.966265651352400710e+02,4.144868830589315962e+02
-1.335612407249645628e+01,4.531197512198867798e+02,-6.299999999999998863e+02,6.108409704713063775e+02,5.714241480772727755e+02,5.323406530220632931e+02,-3.477179729952411549e+02,-6.091796967315584652e+02,-1.715941929137956379e+02,-1.365825570989076141e+02,-2.142113167522757777e+01,-3.335887286289362805e+02,-4.900469092744575050e+02,2.970370919288046139e+02,4.139828422208036045e+02
-1.334762803396692554e+01,4.521348041314874990e+02,-6.300000000000000000e+02,6.109278326999519777e+02,5.706083071364500938e+02,5.325042374241400012e+02,-3.360208718227252120e+02,-6.095658764396288234e+02,-1.671052239809196465e+02,-1.366150152243759806e+02,-2.191715953129457262e+01,-3.344226533885015442e+02,-4.892766434120417784e+02,2.980510180555025954e+02,4.127577514895709783e+02
-1.336040154291357851e+01,4.528235651932747601e+02,-6.300000000000000000e+02,6.109520854740819686e+02,5.717184734815803040e+02,5.322706421343203829e+02,-3.398816503076656090e+02,-6.093455664630483852e+02,-1.684004519094132490e+02,-1.365994527124908018e+02,-2.139016953986191183e+01,-3.340356939449802667e+02,-4.891310344978002149e+02,2.975637074550720627e+02,4.132885944451541604e+02
-1.336287114327020653e+01,4.532378175584406108e+02,-6.300000000000000000e+02,6.109841578027378546e+02,5.726226006818852738e+02,5.320812018107728818e+02,-3.410710536698707074e+02,-6.092301012103380344e+02,-1.685682768673827638e+02,-1.365859628888972281e+02,-2.101690439286814893e+01,-3.338494453917065812e+02,-4.888091300191102846e+02,2.973235053836693851e+02,4.135049468552694520e+02
-1.336404875707368944e+01,4.535970729446245855e+02,-6.300000000000000000e+02,6.109520746578610897e+02,5.729555435244811861e+02,5.320363823457162198e+02,-3.405949976792355187e+02,-6.091356663976745267e+02,-1.690426707674961335e+02,-1.366103911876092241e+02,-2.057668748813093273e+01,-3.337060681539307438e+02,-4.883275826581175352e+02,2.970796149091349889e+02,4.138533543349049637e+02
-1.336429289463868031e+01,4.536716004384523444e+02,-6.300000000000000000e+02,6.109070063712514411e+02,5.728910371025033328e+02,5.320365906582658226e+02,-3.403714455592578929e+02,-6.090867097825073415e+02,-1.694934613572871172e+02,-1.365964193805822049e+02,-2.062283561505502050e+01,-3.335921557362481735e+02,-4.882051178487012635e+02,2.969311744688699264e+02,4.140840810929780105e+02
-1.336434532115972296e+01,4.536402205699553747e+02,-6.300000000000000000e+02,6.108860124999885102e+02,5.728076466310033084e+02,5.320271985844386791e+02,-3.402310534877443615e+02,-6.090729809468806479e+02,-1.695593820724803322e+02,-1.365676633456949673e+02,-2.068788021088620610e+01,-3.335273332486377171e+02,-4.881876964806812111e+02,2.968695889712694225e+02,4.141607789272088098e+02
-1.336435646375507957e+01,4.536092412586996829e+02,-6.300000000000000000e+02,6.108774676277005256e+02,5.727425237390664279e+02,5.320252583546582628e+02,-3.402083095488267759e+02,-6.090725104125854159e+02,-1.694969808317533762e+02,-1.365489126710782841e+02,-2.069872603082458795e+01,-3.334983769483515630e+02,-4.882026221352297739e+02,2.968509794096223118e+02,4.141544540809766204e+02
-1.336435835669991690e+01,4.536030116606032152e+02,-6.300000000000000000e+02,6.108756834698316425e+02,5.727166164555309251e+02,5.320251887469507892e+02,-3.402092164758773833e+02,-6.090744574157355373e+02,-1.694364242476974027e+02,-1.365426722082397077e+02,-2.069008786792851851e+01,-3.334900592424900196e+02,-4.882104589035623121e+02,2.968486095092779351e+02,4.141266163837593695e+02
-1.336435863902589993e+01,4.536060931421469036e+02,-6.299999999999998863e+02,6.108754859179082359e+02,5.727071398193079403e+02,5.320253473122060086e+02,-3.402133738801423419e+02,-6.090760368212505682e+02,-1.694158192872877180e+02,-1.365420007169028622e+02,-2.068364397740701577e+01,-3.334885735177608694e+02,-4.882111769359647155e+02,2.968486958618073004e+02,4.141096224778781902e+02
-1.336435866422531582e+01,4.536084306432148310e+02,-6.300000000000000000e+02,6.108755309829903126e+02,5.727052627930100925e+02,5.320250309163301381e+02,-3.402134652854218189e+02,-6.090767547642512909e+02,-1.694140781617991252e+02,-1.365423747408777899e+02,-2.068260716190519943e+01,-3.334886729761603306e+02,-4.882102308317239476e+02,2.968486971956845082e+02,4.141049578864484033e+02
-1.336435866553964402e+01,4.536089303554869048e+02,-6.299999999999998863e+02,6.108754936451146023e+02,5.727048349036748505e+02,5.320248527795187101e+02,-3.402134290089946944e+02,-6.090769867174924457e+02,-1.694152845340841225e+02,-1.365425060871150151e+02,-2.068283761252270736e+01,-3.334887844431942767e+02,-4.882099250131500412e+02,2.968486129784442369e+02,4.141045453059002170e+02
-1.336435866553964402e+01,4.536089303554869048e+02,-6.299999999999998863e+02,6.108754936451146023e+02,5.727048349036748505e+02,5.320248527795187101e+02,-3.402134290089946944e+02,-6.090769867174924457e+02,-1.694152845340841225e+02,-1.365425060871150151e+02,-2.068283761252270736e+01,-3.334887844431942767e+02,-4.882099250131500412e+02,2.968486129784442369e+02,4.141045453059002170e+02
