# Objective (MW), T_1_x (m), T_1_y (m), T_2_x (m), T_2_y (m), T_3_x (m), T_3_y (m), T_4_x (m), T_4_y (m), T_5_x (m), T_5_y (m), T_6_x (m), T_6_y (m), T_7_x (m), T_7_y (m)
1.166938044782965100e+01,2.690566308159170035e+02,1.254585187612167942e+02,-1.153797623311179024e+02,3.395238870131157114e+02,3.944072415805341052e+02,-6.083093426292684853e+02,1.359945399788195459e+02,-1.230221549893679622e+02,5.712325241803408744e+02,4.423424852252296091e+02,-3.555657881865816421e+02,2.329545482306550142e+01,-4.867271958710655326e+02,-3.432595772197726660e+02
-1.242065127177448325e+01,2.599794251056073904e+02,1.382362653529175986e+02,-9.919387247817044795e+01,3.326665432517893350e+02,3.958557146482780240e+02,-6.098946001238044801e+02,1.516283825794057805e+02,-1.320111121651096937e+02,5.728775965838053708e+02,4.527940052604281505e+02,-3.654322303887390717e+02,2.072270961860964889e+01,-5.235412366458602946e+02,-3.402522299996010133e+02
-1.205433813476215299e+01,2.119540686043621918e+02,1.871813700201598749e+02,-4.291999737038982943e+01,3.086250918747836067e+02,4.126828480252710278e+02,-6.156827949479501285e+02,1.885473883517275624e+02,-1.690246183248526108e+02,5.766186814043473987e+02,4.966499437237984012e+02,-4.400844619872956969e+02,9.699157668908537033e+00,-6.299999999885698116e+02,-3.284545111559556290e+02
-1.335929234433275603e+01,2.584778337175721390e+02,1.562108595548841095e+02,-1.037208671308398493e+02,3.246186408420381895e+02,4.068785067263623318e+02,-6.115037054531039757e+02,1.454376642254130161e+02,-1.468068273312772760e+02,5.726922096978106538e+02,4.694259325212912017e+02,-3.776911892338871439e+02,1.621178132346533474e+01,-5.342068522835052136e+02,-3.361984841562872930e+02
-1.260367040103896663e+01,2.984129839378523457e+02,3.919985265757974275e+02,-2.211141962177649987e+02,2.250839214811522027e+02,5.925414763197654793e+02,-6.300000000000000000e+02,-4.512066198019152807e+01,-3.433534008607915666e+02,5.647964118734257681e+02,6.300000000000000000e+02,-4.522612832577982545e+02,-4.044437432035918789e+01,-5.743080862574045113e+02,-2.873010814721956194e+02
-1.331323464301987514e+01,2.495711544426778801e+02,1.680131811146712550e+02,-1.039482285341489103e+02,3.240078716150946434e+02,4.097232186136868108e+02,-6.111286155323415414e+02,1.399627329007776666e+02,-1.573477835728825767e+02,5.691034502933135855e+02,4.845830463140745792e+02,-3.813952162273864701e+02,1.330786362775224418e+01,-5.244328672034325791e+02,-3.348204478880724650e+02
-1.306489358119074495e+01,2.491053430280395276e+02,1.745484625223400883e+02,-1.002895150766070174e+02,3.383199317168102311e+02,4.015893776955390990e+02,-6.066229649536275019e+02,1.352406456614825458e+02,-1.661093103176601176e+02,5.613560455042977537e+02,5.043946792284933736e+02,-3.591351027260086539e+02,1.233808850947052704e+01,-5.311577708772243795e+02,-3.385099459276726748e+02
-1.267713445836729491e+01,2.596578837910268476e+02,1.894268515173779406e+02,-8.190763886567117424e+01,3.567704282410176120e+02,4.202330027220793340e+02,-6.022305435116194303e+02,1.485629540727934454e+02,-1.837270923411105628e+02,5.681533956287944420e+02,5.449958415698744147e+02,-3.675513179978790959e+02,1.101574317211697718e+01,-5.125670847586080754e+02,-3.414959844265430320e+02
-1.395680907112892299e+01,2.543989198748418801e+02,1.794382516287037390e+02,-9.705564928231413546e+01,3.420012611724612270e+02,4.110374357416639555e+02,-6.070883607502005361e+02,1.389685077162945390e+02,-1.725622636874425950e+02,5.821539266567078812e+02,5.116984947276566800e+02,-3.696375767198073277e+02,1.494967489121039250e+01,-5.296950502043545157e+02,-3.385430200064683390e+02
-1.427244746144029719e+01,2.583083089133544945e+02,1.803096973081457008e+02,-9.792231481742672372e+01,3.411427110800071318e+02,4.129663489610062470e+02,-6.085048941915763407e+02,1.382143214884531801e+02,-1.757132392286589777e+02,5.689304325592772784e+02,5.113149761759757439e+02,-3.741971897476514641e+02,1.786136625286652801e+01,-5.342787066377052270e+02,-3.382164245457392440e+02
