# Objective (MW), T_1_x (m), T_1_y (m), T_2_x (m), T_2_y (m), T_3_x (m), T_3_y (m), T_4_x (m), T_4_y (m), T_5_x (m), T_5_y (m), T_6_x (m), T_6_y (m), T_7_x (m), T_7_y (m)
-1.237663914708606860e+01,-3.354690878942192285e+02,1.585164722533076720e+01,5.718067237518633874e+02,2.213257510407671020e+02,2.169908252458847073e+02,4.229453712167403410e+02,-5.703688398438350760e+02,5.690239278226307533e+02,-6.300000000000000000e+02,-1.394671631116215451e+02,-5.307589679813652310e+02,-5.809110675534883512e+02,1.397315746110215002e+02,-4.184925419672113094e+02
-1.238090019209793091e+01,-3.348446470350485242e+02,1.741233760625818050e+01,5.718553247868630933e+02,2.273432920445428920e+02,2.169452617102322449e+02,4.245914233235698703e+02,-5.705238137735876762e+02,5.707349518615748138e+02,-6.300000000000000000e+02,-1.378957445727751292e+02,-5.300187040962853189e+02,-5.703807374572575100e+02,1.388243377763661499e+02,-4.195755952662511277e+02
-1.238988238268617081e+01,-3.350660834177544984e+02,1.716776068113432530e+01,5.715027582400297206e+02,2.277982783199985022e+02,2.173253944914067972e+02,4.241111682996596528e+02,-5.705874278853696069e+02,5.694524627954566540e+02,-6.300000000000000000e+02,-1.406643923419395605e+02,-5.305847957594712625e+02,-5.755099694015411842e+02,1.394273828269063529e+02,-4.190062881074441634e+02
-1.239111783644000120e+01,-3.349888344651473631e+02,1.696528605240100518e+01,5.714745152350641320e+02,2.287558952889782802e+02,2.173746658946797936e+02,4.245356158606272743e+02,-5.706470005192780945e+02,5.694129812016363985e+02,-6.300000000000000000e+02,-1.406720905049674570e+02,-5.306734850799768992e+02,-5.745457552294534480e+02,1.394472067041515402e+02,-4.186468135768803904e+02
-1.239354310881978627e+01,-3.348753777626301940e+02,1.651924171654428264e+01,5.713856112918415420e+02,2.321383614725575626e+02,2.174466727246718563e+02,4.260229072978422096e+02,-5.708091366592753957e+02,5.694898199466787219e+02,-6.299999999999998863e+02,-1.413197496482277984e+02,-5.310208879618728588e+02,-5.727051991987734709e+02,1.395255046175618929e+02,-4.176337346186915056e+02
-1.243217948395960271e+01,-3.343127747791493789e+02,1.438968430350480254e+01,5.707537251644362186e+02,2.564825858081697447e+02,2.178630811649271664e+02,4.368861952890354132e+02,-5.717018404780659466e+02,5.702127366445255348e+02,-6.299999999999998863e+02,-1.454808547492400805e+02,-5.330714695053314927e+02,-5.632567814462197475e+02,1.399645614355820555e+02,-4.123285590461353536e+02
-1.244300782988831600e+01,-3.340672946775657124e+02,1.291298856982616883e+01,5.703852391012743510e+02,2.658908401757867068e+02,2.179489749113358528e+02,4.446645100696786699e+02,-5.720238631507737637e+02,5.714207133932553688e+02,-6.300000000000000000e+02,-1.460461784465506128e+02,-5.337849866450669651e+02,-5.598919387590946144e+02,1.400368605266662883e+02,-4.115431090899448918e+02
-1.236003834868937723e+01,-3.334832840949580941e+02,5.138408497832323008e+00,5.690194103458250083e+02,2.767617057102138460e+02,2.170190914360559873e+02,4.888712205433589020e+02,-5.721640630816671091e+02,5.824848592710445701e+02,-6.300000000000000000e+02,-1.371966248559896258e+02,-5.339517059504453300e+02,-5.587725397512566587e+02,1.390297228887762913e+02,-4.223017571163212551e+02
-1.253999550999768253e+01,-3.344140253166219168e+02,1.309463616114776485e+01,5.707082928229108347e+02,2.569350710012392369e+02,2.172832745635600133e+02,4.525667097282701548e+02,-5.712750638627759372e+02,5.747295409707342060e+02,-6.299999999999998863e+02,-1.416801756673571333e+02,-5.323814632641807520e+02,-5.677206442348033306e+02,1.392503035163282448e+02,-4.187204714381420558e+02
-1.255535615608227928e+01,-3.346149160803381051e+02,1.515476086085366347e+01,5.712263610999225421e+02,2.575580876400023840e+02,2.171140028150588250e+02,4.537743355726308323e+02,-5.708399471460688801e+02,5.740634860107397799e+02,-6.299999999999998863e+02,-1.421622203799816191e+02,-5.320589329246719217e+02,-5.709888318337754072e+02,1.390867583491899779e+02,-4.180623384795940751e+02
-1.256220915798026461e+01,-3.345063245852511500e+02,1.759548735461507363e+01,5.712558043485171311e+02,2.614786736248079819e+02,2.169982128329105535e+02,4.557836518654800670e+02,-5.705514953536912799e+02,5.736508408223012339e+02,-6.299999999999998863e+02,-1.429591609261452447e+02,-5.316952305258257638e+02,-5.729670296624667571e+02,1.389132422310805168e+02,-4.174431401862644861e+02
-1.256322506228087121e+01,-3.344366624977460560e+02,1.744019825619100672e+01,5.711031931188442741e+02,2.608785722308347204e+02,2.170173185566900713e+02,4.552055391056574081e+02,-5.705350128207629723e+02,5.736673755764373936e+02,-6.300000000000000000e+02,-1.423142947623336738e+02,-5.315669512315037082e+02,-5.740552831090674317e+02,1.389387671897562200e+02,-4.177831899802932867e+02
-1.256394184879168030e+01,-3.343979421942353838e+02,1.695363506558038225e+01,5.710761064121535355e+02,2.614101249983725097e+02,2.170340734693440936e+02,4.549283115892375235e+02,-5.705829459084721975e+02,5.739774911903257362e+02,-6.300000000000000000e+02,-1.416156066291169680e+02,-5.315452870546577060e+02,-5.741171161456624077e+02,1.388893314211488814e+02,-4.179646970819113676e+02
-1.256414837197362999e+01,-3.344060295695624632e+02,1.684687058421704364e+01,5.711197770994449456e+02,2.620208238646873724e+02,2.170346344756485450e+02,4.548277290340956256e+02,-5.706259980392165971e+02,5.741305129701155465e+02,-6.300000000000000000e+02,-1.413877822728838396e+02,-5.315345244309175996e+02,-5.741944652811806691e+02,1.388030169989451963e+02,-4.180859125740344666e+02
-1.256420870869435547e+01,-3.344149462828719948e+02,1.682575819446133281e+01,5.711364059291187232e+02,2.622193623748738673e+02,2.170361090145736398e+02,4.548599448961362555e+02,-5.706606126236662249e+02,5.741358931097252025e+02,-6.300000000000000000e+02,-1.413834394006724438e+02,-5.315453241257134778e+02,-5.742401053171913645e+02,1.387502565231330038e+02,-4.181233065536041522e+02
-1.256429513661407604e+01,-3.344227932020022536e+02,1.681687291353727431e+01,5.711482228283555287e+02,2.623624813824239936e+02,2.170412034952881299e+02,4.549027852231368456e+02,-5.707263456962925829e+02,5.740976074314096422e+02,-6.300000000000000000e+02,-1.414277040412078748e+02,-5.315710772005094213e+02,-5.743253556713974604e+02,1.386485468826896010e+02,-4.181394831331560908e+02
-1.256435661982788510e+01,-3.344123372930843630e+02,1.682661759339845986e+01,5.711423036992194966e+02,2.622901911583679748e+02,2.170466433138959701e+02,4.549181359172894759e+02,-5.707727903468180557e+02,5.740668203919699408e+02,-6.300000000000000000e+02,-1.414715237569876649e+02,-5.315937549042283763e+02,-5.743805346491583350e+02,1.385648077940762732e+02,-4.180934077367522832e+02
