# Objective (MW), T_1_x (m), T_1_y (m), T_2_x (m), T_2_y (m), T_3_x (m), T_3_y (m), T_4_x (m), T_4_y (m), T_5_x (m), T_5_y (m), T_6_x (m), T_6_y (m), T_7_x (m), T_7_y (m)
1.340392208297362409e+01,-6.298753755999999839e+02,-6.300000000000000000e+02,-1.181119202000000001e+02,4.334933622999999869e+01,-1.323231778999999904e+02,-3.437080836000000090e+02,-1.107302825999999953e+02,3.070810784000000240e+02,7.865954189999999357e+01,-2.045273683000000062e+02,-6.300000000000000000e+02,-8.167619267000000605e+01,1.012214119000000068e+02,1.692555930000000046e+02
-1.403540479300609611e+01,-6.300000000000000000e+02,-6.300000000000000000e+02,-1.235300510750267904e+02,3.923529718989455262e+01,-1.809492865525170942e+02,-3.436406328050140360e+02,-1.068787427153517058e+02,3.150369472978516683e+02,6.893380017404092541e+01,-2.155937420574955183e+02,-6.300000000000000000e+02,-7.839264632108026376e+01,1.019095072030689551e+02,1.738535573376339585e+02
-1.420174403646757355e+01,-6.299999999999989768e+02,-6.299098634247767450e+02,-1.408964336033724578e+02,3.094323901040685598e+01,-2.125049251785655713e+02,-3.427211524831608926e+02,-7.697503452995951534e+01,3.423321204455485827e+02,2.041287404273005279e+01,-2.345327183775491164e+02,-6.299999999999989768e+02,-7.155519472527691960e+01,1.122691044956470705e+02,1.723214069712546177e+02
-1.325218158059023388e+01,-6.299999999999986358e+02,-6.297443011947939340e+02,-1.757570958556075027e+02,2.665889301055596050e+01,-1.963143931930074189e+02,-3.455339480794282849e+02,-8.608284223262802470e+01,3.611137106999372008e+02,3.259177049397877113e+01,-2.375754553199786017e+02,-6.299999999999984084e+02,-6.847437205850948772e+01,8.556803154424534341e+01,1.682763994034529844e+02
-1.357914564436497251e+01,-6.300000000000000000e+02,-6.296787714473346114e+02,-1.525597560062051912e+02,2.926774857563010812e+01,-1.749381555530000014e+02,-3.453557262473249807e+02,-8.305956666229270979e+01,3.453304712766308739e+02,7.208251099699288034e+01,-2.297278841221642836e+02,-6.300000000000000000e+02,-7.175527984168945750e+01,1.068735645915914176e+02,1.790011630062763288e+02
-1.341645067601705144e+01,-6.299999999999997726e+02,-6.289221887901594528e+02,-1.581552304194579790e+02,1.292564382861552730e+01,-9.419596736944670567e+01,-3.655159344438284847e+02,-7.278443816574989000e+01,3.816483695260992590e+02,1.206798837033739460e+02,-2.296075962286102481e+02,-6.299999999999995453e+02,-6.284316971965341736e+01,1.062506975945442065e+02,2.020576806113224109e+02
-1.527197677262211783e+01,-6.300000000000000000e+02,-6.294600496388086412e+02,-1.356809239628788646e+02,2.747460868194140104e+01,-1.787586786638387935e+02,-3.488368536269434230e+02,-9.863260988583722622e+01,3.431520577322639838e+02,6.647410200526810797e+01,-2.262375896339453050e+02,-6.300000000000000000e+02,-7.124099242095684303e+01,9.834380324321517719e+01,1.859656775867258602e+02
-1.401039786346999705e+01,-6.300000000000000000e+02,-6.288281900172654559e+02,-1.483073661589931476e+02,2.256714453002062726e+01,-1.762771749817232774e+02,-3.509937687331344023e+02,-1.120947174469503551e+02,3.542337699501159705e+02,5.677010095232298426e+01,-2.309957505468165380e+02,-6.300000000000000000e+02,-6.907046455643572358e+01,1.081176043880306139e+02,1.932783628317226885e+02
-1.545721336660154321e+01,-6.300000000000000000e+02,-6.288247049143172944e+02,-1.360657677962896912e+02,2.909884771755476152e+01,-1.795965794960339679e+02,-3.506542930056925798e+02,-9.831658394043112992e+01,3.417949553839156351e+02,6.061430871334819415e+01,-2.272422498908395028e+02,-6.300000000000000000e+02,-7.220044250539422137e+01,9.954961570201591314e+01,1.856839561605331710e+02
-1.549131353395411814e+01,-6.300000000000000000e+02,-6.279581725890286634e+02,-1.370483720808534258e+02,2.984254147831225268e+01,-1.781896975867424544e+02,-3.532383429003675701e+02,-9.855812493478029523e+01,3.385491475702264665e+02,6.058787125211036795e+01,-2.279187484240912625e+02,-6.300000000000000000e+02,-7.254706642388104854e+01,1.004767667249449090e+02,1.839760487442501642e+02
-1.554691274612116736e+01,-6.300000000000000000e+02,-6.248919267013261560e+02,-1.378919042499378520e+02,2.953484322844443355e+01,-1.762313090977153820e+02,-3.620791335675210121e+02,-9.885331814971289077e+01,3.354043989338449592e+02,6.027138769784471606e+01,-2.307689947275443672e+02,-6.300000000000000000e+02,-7.265533308541742485e+01,1.011825142087531759e+02,1.821322225477420886e+02
-1.358171000752822088e+01,-6.300000000000000000e+02,-5.691171746429263294e+02,-1.496389562787395562e+02,2.283468468735018320e+01,-1.472077729596489348e+02,-5.249532742132066687e+02,-1.032579519273658661e+02,2.937265531625811263e+02,5.415066361638385928e+01,-2.819846446800912076e+02,-6.300000000000000000e+02,-7.517473578351294350e+01,1.099717861138482249e+02,1.572988764804694597e+02
-1.564954039136879338e+01,-6.300000000000000000e+02,-6.161988962524578710e+02,-1.386625994218001949e+02,2.767976517978907225e+01,-1.731926194373646410e+02,-3.810353355682599386e+02,-9.934223786622423802e+01,3.325102330895002183e+02,5.957961200335587648e+01,-2.410551449480716144e+02,-6.300000000000000000e+02,-7.304956691001379454e+01,1.012879213557206555e+02,1.800252661906872049e+02
-1.568680070410585436e+01,-6.300000000000000000e+02,-6.024444409266608318e+02,-1.377324694749361242e+02,2.359109728310668075e+01,-1.722935134598345144e+02,-3.974784223607001081e+02,-9.964632851446731365e+01,3.339462403400522703e+02,5.885119317450423182e+01,-2.683386212883826829e+02,-6.300000000000000000e+02,-7.494360723838245519e+01,9.968412976480149723e+01,1.797516213188403640e+02
-1.578843614504062742e+01,-6.300000000000000000e+02,-6.080564871560397933e+02,-1.374578579817514026e+02,2.551731152175591077e+01,-1.743857534046393880e+02,-3.934371110573844135e+02,-9.936466831742596639e+01,3.348110515664035347e+02,5.916167741403842939e+01,-2.602353080736754691e+02,-6.300000000000000000e+02,-7.714208940272764892e+01,9.961437776482792117e+01,1.801771105490940101e+02
-1.582497713641974002e+01,-6.300000000000000000e+02,-6.121397686093757784e+02,-1.371297561786015535e+02,2.587235413172845355e+01,-1.754942965110960529e+02,-3.929289483128288794e+02,-9.898359584574954795e+01,3.370140976804187858e+02,5.965896108444404433e+01,-2.566954186240309923e+02,-6.300000000000000000e+02,-8.201677631197024709e+01,9.971934851205551809e+01,1.820258993104358467e+02
-1.589561493078488397e+01,-6.300000000000000000e+02,-6.135437120745472157e+02,-1.365206783536219461e+02,2.549820037588294497e+01,-1.774949597298364097e+02,-4.030329966738138410e+02,-9.831986375824321556e+01,3.395867033061464326e+02,6.009701906640106017e+01,-2.629726437534279739e+02,-6.300000000000000000e+02,-9.581016303794071121e+01,9.965738792590427408e+01,1.836687799167553408e+02
-1.585604976377811681e+01,-6.300000000000000000e+02,-6.118456634257823907e+02,-1.364073201939618230e+02,2.327480832376661013e+01,-1.790350040623463030e+02,-4.234013098248305482e+02,-9.799419570934961143e+01,3.402776648042107581e+02,6.016462697732411868e+01,-2.746059505234167659e+02,-6.300000000000000000e+02,-1.101819306218884407e+02,9.998080023483005618e+01,1.843613379216830026e+02
-1.593241663304534406e+01,-6.300000000000000000e+02,-6.110454675627740926e+02,-1.368810805630009497e+02,2.354170158071960373e+01,-1.773707136385915533e+02,-4.134137633071993037e+02,-9.845709885864157229e+01,3.383040659223331090e+02,5.987957352927014654e+01,-2.692802103241006080e+02,-6.300000000000000000e+02,-9.809636713959589827e+01,1.000078694589630999e+02,1.830098826958513314e+02
-1.593594486047661185e+01,-6.300000000000000000e+02,-6.110374400481326802e+02,-1.370784577792439336e+02,2.342266416117952943e+01,-1.768506278921310866e+02,-4.137634224351072021e+02,-9.852624368480852013e+01,3.372501737963087862e+02,5.976722537246072875e+01,-2.688744522370603818e+02,-6.300000000000000000e+02,-9.661503964850454906e+01,1.000911094264767343e+02,1.821527560845359233e+02
-1.593752985862792571e+01,-6.300000000000000000e+02,-6.115561284366045811e+02,-1.371517491811020477e+02,2.331340581531030409e+01,-1.765699325768671883e+02,-4.138816440788622231e+02,-9.857396494809880494e+01,3.369368678234333743e+02,5.974378237533181135e+01,-2.677179439700470880e+02,-6.300000000000000000e+02,-9.644984373813173306e+01,1.001104170910982702e+02,1.819254868577080515e+02
-1.593879962343070211e+01,-6.300000000000000000e+02,-6.127447048414726396e+02,-1.372146395217266672e+02,2.322161388980708452e+01,-1.760131106462284265e+02,-4.133301900445804904e+02,-9.866640948833151015e+01,3.366055763796673546e+02,5.972643609680399379e+01,-2.635136595780643916e+02,-6.300000000000000000e+02,-9.604016282503471302e+01,1.000908641425303074e+02,1.816876618959185805e+02
-1.593975626105284071e+01,-6.300000000000000000e+02,-6.121642307316086544e+02,-1.371242425469313559e+02,2.327668974069674235e+01,-1.762866623201103664e+02,-4.141067242362511251e+02,-9.862011125159651215e+01,3.369946269291962722e+02,5.974518525225413867e+01,-2.649978482391367152e+02,-6.300000000000000000e+02,-9.638580338990223595e+01,1.000459726794219364e+02,1.819597628234443221e+02
