# Objective (MW), T_1_x (m), T_1_y (m), T_2_x (m), T_2_y (m), T_3_x (m), T_3_y (m), T_4_x (m), T_4_y (m), T_5_x (m), T_5_y (m), T_6_x (m), T_6_y (m), T_7_x (m), T_7_y (m)
-1.438854679472049547e+01,-1.776746693476941630e+02,1.780937318112031278e+02,-1.910118833113367032e+01,-2.645252103232542709e+02,2.177137622143530109e+02,1.868982366641159842e+01,-5.704721116394167666e+02,-9.500386489181674676e+01,-5.309873941309164138e+02,4.234451164609787384e+02,1.780029185299038659e+02,6.161854009681582056e+02,5.717039427337933830e+02,3.326158098297332799e+02
-1.438855171163846514e+01,-1.776730093868573306e+02,1.781077571649215656e+02,-1.910465510978549730e+01,-2.646073490057783033e+02,2.177160221915300724e+02,1.869002690600339989e+01,-5.704994920248420840e+02,-9.500703836763554477e+01,-5.309800978872870019e+02,4.235090503172496597e+02,1.780012156208138379e+02,6.161965115563498330e+02,5.717017594956219000e+02,3.326594670725647234e+02
-1.438855311550088345e+01,-1.776722469522909478e+02,1.781217155223124848e+02,-1.910766800068495641e+01,-2.646348205289506836e+02,2.177185082808110224e+02,1.870109554015281716e+01,-5.705025062659900641e+02,-9.500369672808129451e+01,-5.309758809195374170e+02,4.235599877159812081e+02,1.780008907253909740e+02,6.162115685947170505e+02,5.717025846544058822e+02,3.326815459100554904e+02
-1.438855438181952273e+01,-1.776721745414607199e+02,1.781347697257577636e+02,-1.910937574253669879e+01,-2.646448423469907425e+02,2.177198619524309890e+02,1.871025316697180330e+01,-5.704991275805948590e+02,-9.499524188237674593e+01,-5.309721902626262136e+02,4.236357063041493234e+02,1.780015289396208971e+02,6.162334076698565468e+02,5.717028291908687834e+02,3.327081033086345201e+02
-1.438855529951649004e+01,-1.776725728995940301e+02,1.781384775610085569e+02,-1.910914937632493960e+01,-2.646355704116595007e+02,2.177199175942448619e+02,1.871361653454506069e+01,-5.704934147870382048e+02,-9.498936704062204228e+01,-5.309711607858208708e+02,4.237159317700339898e+02,1.780019809792438252e+02,6.162598535070792423e+02,5.717034326871992107e+02,3.327286907978318595e+02
-1.438855574276868055e+01,-1.776731868784723076e+02,1.781339881720118399e+02,-1.910774066205009447e+01,-2.646168341923823277e+02,2.177190508016765591e+02,1.871027772755297036e+01,-5.704906985863086675e+02,-9.498674053460555911e+01,-5.309722249045682929e+02,4.237706108772776474e+02,1.780020001136943506e+02,6.162821733613385504e+02,5.717034879321181506e+02,3.327362899274443748e+02
-1.438855583524419934e+01,-1.776734416788839894e+02,1.781294318288215948e+02,-1.910692122070269150e+01,-2.646062182138042544e+02,2.177185450809650433e+02,1.870708962163766387e+01,-5.704918372910799462e+02,-9.498698095180378687e+01,-5.309734006892298339e+02,4.237837659738009393e+02,1.780016238430754640e+02,6.162912432556362319e+02,5.717032589226603250e+02,3.327339424675382134e+02
-1.438855584608126392e+01,-1.776734632501056694e+02,1.781282406002057428e+02,-1.910679636560087147e+01,-2.646036188595959970e+02,2.177184728583565629e+02,1.870626541839040868e+01,-5.704932317442520571e+02,-9.498716291550205426e+01,-5.309737637567404818e+02,4.237819117360622272e+02,1.780013721840094831e+02,6.162928504250910464e+02,5.717030142261950232e+02,3.327315543630689376e+02
-1.438855584697743772e+01,-1.776734380838076675e+02,1.781283572137223530e+02,-1.910684534796130762e+01,-2.646033989239070934e+02,2.177185110216244652e+02,1.870643210872269435e+01,-5.704937471505576241e+02,-9.498712245115272879e+01,-5.309737845584369325e+02,4.237802943111677791e+02,1.780012741120465307e+02,6.162929384377237056e+02,5.717029181192032183e+02,3.327309994901682444e+02
-1.438855584697743772e+01,-1.776734380838076675e+02,1.781283572137223530e+02,-1.910684534796130762e+01,-2.646033989239070934e+02,2.177185110216244652e+02,1.870643210872269435e+01,-5.704937471505576241e+02,-9.498712245115272879e+01,-5.309737845584369325e+02,4.237802943111677791e+02,1.780012741120465307e+02,6.162929384377237056e+02,5.717029181192032183e+02,3.327309994901682444e+02
